,Place,Size,Price
443,"Ruaka, Ruaka, Kiambaa",0.0, 12300000
447,"Ngong, Kajiado North",0.0, 4500000
454,"Mtwapa, Kilifi South",0.0, 1500000
455,"Kikuyu Town, Kikuyu",0.0, 3500000
460,"Karen, Langata",0.0, 900000000
463,"Ngecha, Limuru",0.0, 38000000
468,"Kikuyu Town, Kikuyu",0.0, 2800000
473,"Kikuyu Town, Kikuyu",0.0, 5700000
484,"Kikuyu Town, Kikuyu",0.0, 3200000
487,"Convent drive, Lavington, Dagoretti North",0.0, 200000000
489,"Gikambura, Kikuyu",0.0, 6200000
492,"Kikuyu Town, Kikuyu",0.0, 1900000
493,"Rironi, Limuru",0.0, 1600000
500,"Kikuyu Town, Kikuyu",0.0, 2500000
512,"Ruiru, Ruiru",0.0, 6500000
514,"Nyali Area, Nyali",0.0, 25000000
516,"Limuru Road, Cianda, Kiambaa",0.0, 13500000
517,"Gikambura, Kikuyu",0.0, 1800000
525,"Sagana, Sagana gateaway resort, Maragwa, Maragwa",0.0, 550000
530,"Lavington, Dagoretti North",0.0, 110000000
534,"Kikuyu Town, Kikuyu",0.0, 1850000
537,"Kilifi, Kilifi North",0.0, 24000000
538,"Waithaka, Dagoretti South",0.0, 28000000
543,"Kamiti Road, Kamiti, Muthaiga",0.0, 7500000
551,"Kiserian Bypass, Isinya, Kajiado North",0.0, 9000000
562,"Nyali Area, Nyali",0.0, 60000000
564,"Kikuyu Town, Kikuyu",0.0, 2450000
572,"vipingo, Kilifi North",0.0, 30000000
579,"Runda, Westlands",0.0, 38000000
581,"Mtwapa, Kilifi South",0.0, 8000000
584,"Kitengela, Kitengela, Kajiado North",0.0, 2500000
585,"Juja, Kiambu Constituency",0.0, 650000
586,"Gikambura, Kikuyu Town, Kikuyu",0.0, 1000000
598,"Kamiti Ridge, Kamiti Corner estate, Kiambu Town, Kiambu Town",0.0, 12000000
599,"thindigua highway street, Kiambu Road, Kiambu Road",0.0, 40000000
600,"Nyali Area, Nyali",0.0, 150000000
602,"Thika Road, Thika Road",0.0, 80000000
605,"Thika Gatura Rd, Thika, Thika",0.0, 13000000
608,"Kilimani, Dagoretti North",0.0, 210000000
625,"Juja, Kiambu Constituency",0.0, 650000
629,"Gikambura, Kikuyu",0.0, 1000000
634,"NACHU, NACHU, Gikambura, Kikuyu",0.0, 700000
638,"Ruiru, Ruiru",0.0, 9500000
639,"One eighth ( 1/8) of an acre, Ngong - Kerarapon, Ngong, Kajiado North",0.0, 6000000
640,"4th Rise, Kerarapon drive, Ngong, Kajiado North",0.0, 13000000
646,"Shanzu, Kisauni",0.0, 22000000
651,"Mai Mahiu, Naivasha",0.0, 500000
652,"Matuu, the rest of Machakos, the rest of Machakos",0.0, 299000
655,"Lusigetti, Kikuyu Town, Kikuyu",0.0, 2350000
656,"Kilgoris Road, Narok, Narok",0.0, 1800000
657,"Marula Lane, Karen, Langata",0.0, 65000000
662,"Nyari, Westlands",0.0, 240000000
664,"Mtwapa, Kilifi South",0.0, 5000000
668,"Thika, Thika",0.0, 2700000
671,"Kieni, Kieni",0.0, 15000000
680,"Thika, Thika",0.0, 4800000
683,"Muhuri Road, Waithaka, Dagoretti South",0.0, 35000000
692,"Njabini- Nyahururu road, Kinangop, Kinangop",0.0, 1000000
696,"Kilifi, Kilifi North",0.0, 5000000
697,"Nyali Area, Nyali",0.0, 1850000
701,"Juja, Kiambu Constituency",0.0, 550000
707,"Kigwaru, Runda, Westlands",0.0, 40000000
708,"Ngong, Kajiado North",0.0, 5800000
715,"Naivasha Town, Naivasha",0.0,0
716,"Nyali Area, Nyali",0.0, 160000000
718,"Dagorreti road, Gikambura, Kikuyu",0.0, 1000000
719,"Nyali Area, Nyali",0.0, 15000000
721,"Kikambala, Kilifi South",0.0, 15000000
735,"Mtwapa, Kilifi South",0.0, 4500000
739,"Mihang'o, Embakasi",0.0, 4400000
741,"Isinya, Isinya town, Isinya, Kajiado North",0.0, 220000000
743,"Nyali Area, Nyali",0.0, 70000001
759,"Nyali Area, Nyali",0.0, 57000000
760,"Gikambura, Kikuyu",0.0, 2500000
761,"Juja, Kiambu Constituency",0.0, 550000
765,"Ruiru Murera rd, Ruiru, Ruiru",0.0, 6800000
767,"Malindi Town, Malindi",0.0, 550000
769,"Msabaha, Malindi Town, Malindi",0.0, 730000
771,"Nyali Area, Nyali",0.0, 10000000
777,"Ongata Rongai, Kajiado North",0.0, 2500000
780,"Acre 5, Sigona Green Gated Estate, Rironi, Limuru",0.0, 13500000
781,"Kikuyu Town, Kikuyu",0.0, 4400000
782,"Kamiti Ridge, Kamiti, Muthaiga",0.0, 36000000
785,"Nyali Area, Nyali",0.0, 4700000
793,"Kikopey town, Naivasha, Naivasha Town, Naivasha",0.0, 500000
796,"Ongata Rongai, Kajiado North",0.0, 13500000
806,"Kamangu/nachu., Kikuyu Town, Kikuyu",0.0, 850000
