,Place,Size,Price
91,"Nyari, Westlands Redhill Link road, Nyari, Westlands",Land Area 1 ac, 220000000
92,"Nyali Area, Nyali",, 39000000
93,"Amboseli Road, Lavington, Dagoretti North",Land Area 1 ac, 156000000
94,"Westlands Area, Westlands",Land Area 0 ac, 180000000
95,"St. Julian Road, Red Hill, Red Hill",Land Area 0 ac, 10000000
96,"Mombasa Road, Mombasa Road",Land Area 1012 m², 20000000
97,"Thika Greens Estate, Thika Road, Thika Road",Land Area 1012 m², 5000000
98,"Lower Kabete, Westlands",, 85000000
99,"Dagoretti Road, Karen, Langata",Land Area 11332 m², 300000000
100,"Ruaka - Banana Rd, Ruaka, Kiambaa",Land Area 420 m², 15000000
101,"Kilimani, Dagoretti North",Land Area 3200 m², 300000000
102,"Muthaiga Area, Muthaiga",Land Area 1 ac, 650000000
103,"Magadi Road, Ongata Rongai, Kajiado North",Land Area 0 ac, 60000000
104,"Havana, Runda, Westlands",Land Area 2428 m², 55000000
105,"KANDARA ROAD, KANDARA, Thika, Thika",Land Area 0 ac, 5500000
106,"Kinoo, Kabete",, 22000000
107,"Kitengela, Kajiado North",, 1200000
108,"Karen, Langata",, 65000000
109,"Thika Super Highway, Juja, Kiambu Constituency",Land Area 1012 m², 18000000
110,"James gichuru, Gitanga road., Lavington, Dagoretti North",Land Area 0 ac, 260000000
111,"Kikuyu Town, Kikuyu",Land Area 1000 m², 4500000
112,"Gikambura, Kikuyu",Land Area 0 ha, 4000000
113,"Argwings Kodhek Road, Valley Arcade, Dagoretti North",Land Area 4047 m², 330000000
114,"Kitengela, Kajiado North",Land Area 500 m², 2400000
115,"Mazola , Garden, Kitengela, Kajiado North",Land Area 400 m², 1900000
116,"Nyeri Road, Kileleshwa, Dagoretti North",Land Area 4039 m², 285000000
117,"Off Mutongoni Road, lukenya, Athi River",Land Area 5000 ft², 450000
118,"Ongata Rongai, Kajiado North",Land Area 0 ha, 11000000
119,"Kavunyalalo, Ganda, Malindi",, 200000
120,"kikambala, Kikambala, Kilifi South",Land Area 3200 ft², 1400000
121,"Juja, Kiambu Constituency",, 800000
122,"Nyali, Nyali Area, Nyali",Land Area 52272 ft², 155000000
123,"Ngong Road, Ngong Road",Land Area 1 m², 500000000
124,"Ngong, Kajiado North",Land Area 500 m², 2800000
125,"Mumwe, Runda, Runda, Westlands",Land Area 2833 m², 45000000
126,"xx, kerarapon road, Karen, Langata",Land Area 1 ac, 58000000
127,"Off Kangundo Road, Koma Rock, Kangundo",Land Area 404700 m², 250000000
128,"Naivasha Town, Naivasha",Land Area 235 ac, 587500000
129,"Galu Beach, Diani, Msambweni",Land Area 464 m², 1050000
130,"Kantafu, Kantafu, Koma Rock, Kangundo",Land Area 450 m², 600000
131,"Lavington, Dagoretti North",Land Area 3035 m², 100000000
132,"Kiambu Town, Kiambu Town",, 5500000
133,"Joska, Kangundo",Land Area 450 m², 595000
134,"2, Konza, Mombasa Road, Mombasa Road",Land Area 4047 m², 335000000
135,"Nyali Area, Nyali",, 10000000
136,"Ongata Rongai, Kajiado North",Land Area 500 m², 1000000
137,"Kagundo Road, Kasarani",Land Area 506 m², 499000
138,"Epz Road, Mlolongo, Athi River",Land Area 0 ac, 7500000
139,"Runda, Westlands",Land Area 4856 m², 125000000
140,"Kantafu, Koma Rock, Kangundo",Land Area 450 m², 525000
141,"Oltoroto, Oltoroto, Kitengela, Kajiado North",Land Area 0 ha, 550000
142,"Vipingo Beach, Marijani Vipingo Beach, vipingo, Kilifi North",Land Area 750 m², 3550000
143,"Msabaha, Malindi Town, Malindi",Building Area 0 ha, 375000
144,"Nyali, Nyali Area, Nyali",Land Area 1011 m², 24000000
145,"Kiambu Road, Cianda, Kiambaa",Land Area 2023500 m², 12000000
146,"Runda, Westlands",Land Area 2023 m², 50000000
147,"Gikambura, Kikuyu",Land Area 450 m², 700000
148,"Kiserian, Kajiado North",Land Area 460 m², 559000
149,"Gikambura, Kikuyu",Land Area 0 ha, 2950000
150,"Nanyuki, Laikipia East",Land Area 450 m², 350000
151,"Westlands Road, Westlands Area, Westlands",Land Area 2024 m², 350000000
152,"Kinoo, Kabete",Land Area 1000 m², 28500000
153,"Rhino Park Road, Karen, Langata",Land Area 1 ac, 61000000
154,"32860, Miotoni road, Karen, Langata",Land Area 0 ac, 45000000
155,"Kahara Road, Ngong, Kajiado North",, 17000000
156,"vipingo, Kilifi North",, 18000000
157,"Kikuyu Town, Kikuyu",Land Area 0 ha, 4800000
158,"Ringroad, Kilimani, Dagoretti North",, 340000000
159,"Riverside Drive, Riverside, Westlands",Land Area 0 ac,P.O.A
160,"Mariakani, Mariakani, Mombasa CBD, Mombasa CBD",, 4000000
