,Place,Size,Price
413,"Juja, Kiambu Constituency",, 650000
414,"332, Thika, Juja, Kiambu Constituency",Building Area 2100 ft², 1700000
415,"Kikuyu Town, Kikuyu",Land Area 1000 m², 10000000
416,"muthaara, Thika, Thika",Land Area 50100 ac, 330000
417,"Mugutha kwa kabogo, Ruiru, Ruiru",Building Area 500 ft², 2200000
418,"Nanyuki, Laikipia East",Land Area 0 ac, 319000
419,"Thika Greens, Thika, Thika",Land Area 1000 ac, 5500000
420,"Industrial Area, Embakasi",Land Area 4047 m², 200000000
421,"Malindi Town, Malindi","Land Area 506 m²
2
2", 1750000
422,"Gikambura, Kikuyu",Land Area 0 ha, 3600000
423,"Jacaranda Avenue, Lavington, Dagoretti North",Land Area 4047 m², 190000000
424,"Kahawa West, Roysambu",, 11000000
425,"Runda, Westlands",, 57000000
426,"Fundisa Kibaoni, Malindi Town, Malindi",Land Area 76893 m², 1800000
427,"Nanyuki, Laikipia East",Land Area 404686 m², 35000000
428,"Karen, Langata",, 30000000
429,"Nyali Area, Nyali",, 9000000
430,"Hatheru Road, Lavington, Dagoretti North",Land Area 1 ac, 300000000
431,"Inkiwanchani, Inkiwanchani, the rest of Kajiado Central, Kajiado Central",Land Area 48564 m², 18000000
432,"Kyuna, Westlands",, 320000000
433,"Westlands Area, Westlands",Land Area 6475 m², 450000000
434,"Malindi Town, Malindi",Land Area 5000 m², 3000000
435,"Nyari, Westlands",, 70000000
436,"14th drive, Kerarapon drive, Ngong, Kajiado North",Land Area 0 ac, 20000000
437,"mara / koiyaki, Narok, Narok",Land Area 20 ha, 60000000
438,"Kikuyu Town, Kikuyu",Land Area 500 m², 2700000
439,"Watamu, Kilifi North",Building Area 500 ft², 375000
440,"Jamii Bora, Bank, Kitengela, Kajiado North",Land Area 450 m², 3500000
441,"Syokimau, Athi River",Land Area 1000 m², 7300000
442,"Old Muthaiga, Muthaiga",, 180000000
443,"Ruaka, Ruaka, Kiambaa",, 12300000
444,"332, Kalimoni, Juja, Kiambu Constituency",Building Area 3200 ft², 2800000
445,"Ngong - Olkeri, Ngong, Kajiado North",Land Area 4047 m², 15000000
446,"Joska, Kangundo",Land Area 14 ac, 23800000
447,"Ngong, Kajiado North",, 4500000
448,"Ngong, Ngong, Kajiado North",Land Area 1 ac, 16000000
449,"Kyuna, Westlands",Land Area 3035 m², 150000000
450,"Ruiru, Ruiru",Land Area 50000 m², 630000
451,"Kikambala, Kilifi South",Land Area 16188 m², 6500000
452,"Mavoko, Mavoko, Mavoko",Land Area 190209 m², 50000000
453,"Thigiri Lane, Thigiri, Westlands",Land Area 4047 m², 120000000
454,"Mtwapa, Kilifi South",, 1500000
455,"Kikuyu Town, Kikuyu",Land Area 0 ha, 3500000
456,"Matasia Area, Ngong, Kajiado North",Land Area 500 m², 2000000
457,"Tom Mboya Street, Kitisuru, Westlands",Land Area 2024 m², 60000000
458,"Namanga Road, Kisaju, Kajiado Central",Land Area 40470 m², 100000000
459,"Hibiscus Road, Runda, Westlands",Land Area 2024 m², 33000000
460,"Karen, Langata",, 900000000
461,"Kitengela, Kajiado North",Land Area 121410 m², 300000000
462,"Ruiru, Ruiru",Land Area 239 m², 1000000
463,"Ngecha, Limuru",Land Area 0 ha, 38000000
464,"Kitengela, Kajiado North",Land Area 506 m², 2250000
465,"Isinya - Kiserian Rd, Isinya, Kajiado North",Land Area 20235 m², 25000000
466,"Muhuri Road, Kinoo, Kabete",Land Area 0 ac, 49500000
467,"1, Next to Olpejeta Conservancy, Nanyuki, Laikipia East",Land Area 0 ac, 250000
468,"Kikuyu Town, Kikuyu",Land Area 0 ha, 2800000
469,"Tigoni, Limuru",Land Area 0 ac, 9500000
470,"Safari Park, Mirema Road, Nairobi Central, Starehe",Land Area 0 ac, 45000000
471,"Vipingo Beach, Marijani-Vipingo Beach, vipingo, Kilifi North",Land Area 405 m², 1850000
472,"Ongata Rongai, Kajiado North",Land Area 506 m², 3000000
473,"Kikuyu Town, Kikuyu",Land Area 0 ha, 5700000
474,"Kikuyu Town, Kikuyu",Land Area 500 m², 5500000
475,"Kikuyu Town, Kikuyu",Land Area 500 m², 4600000
476,"Mtangani, Ganda, Malindi",Land Area 1 ac, 6000000
477,"Riverside, Riverside Drive, Riverside, Westlands",Land Area 0 ac, 230000000
478,"Kikuyu Town, Kikuyu",Land Area 500 m², 1650000
479,"1, Karen Plains, Karen, Langata",Land Area 16187 m², 200000000
480,"Links Road, Mombasa, Nyali Area, Nyali",Land Area 5 ac, 950000000
481,"Kikuyu Town, Kikuyu",Land Area 1000 m², 11500000
482,"12 km from Namanga highway, Kitengela, Kajiado North",Land Area 0 ac, 449999
483,"Kitengela, Kajiado North",Land Area 1011 m², 2000000
484,"Kikuyu Town, Kikuyu",Land Area 0 ha, 3200000
485,"Upper Hill, Langata",Land Area 5221 m², 750000000
486,"Kabete Area, Kabete",Land Area 500 m², 5000000
487,"Convent drive, Lavington, Dagoretti North",, 200000000
488,"Karen, Langata",Land Area 2000 m², 28000000
489,"Gikambura, Kikuyu",Land Area 0 ha, 6200000
490,"Karen, Langata",Land Area 8094 m², 58000000
491,"Kahawa Sukari, Roysambu",Land Area 40468 m², 220000005
492,"Kikuyu Town, Kikuyu",Land Area 0 ha, 1900000
493,"Rironi, Limuru",, 1600000
494,"Riverside, Westlands",Land Area 0 ac, 230000000
495,"Ha Thiru, Gikambura, Kikuyu",Land Area 500 m², 2500000
496,"Karen, Langata",Land Area 10117 m², 300000000
497,"King'ero Riverside, Wangige, Kabete",Land Area 0 ac, 9500000
498,"Kyuna, Westlands",Land Area 3966 m², 100000000
499,"Gikambura, Kikuyu",Land Area 500 m², 700000
500,"Kikuyu Town, Kikuyu",Land Area 0 ha, 2500000
501,"Kitengela, Kajiado North",Land Area 1012 m², 6000000
502,"Utawala, Embakasi",Land Area 1214 m², 9500000
503,"Ngong, Kajiado North",Land Area 2024 m², 32000000
504,"Ngong road, Lavington, Dagoretti North",Land Area 0 ac, 200000000
505,"Kinungi, the rest of Naivasha, Naivasha",Land Area 0 ac, 350000
506,"Ruaka Banana Road, Ruaka, Kiambaa",Land Area 3035 m², 80000000
507,"Nyali, Mombasa CBD, Mombasa CBD",Land Area 100188 ft², 170000000
508,"Emali, Mombasa Road, Mombasa Road",Land Area 28 ac, 1200000
509,"Namanga, Kajiado South",Land Area 12141 m², 600000
510,"Kwaheri Rd, Runda, Westlands",Land Area 1012 m², 18000000
511,"lukenya, Athi River",Land Area 20234 m², 6500000
512,"Ruiru, Ruiru",, 6500000
513,"Near Karuguru Primary, Kamakis Corner, Ruiru, Ruiru",Land Area 0 ac, 3500000
514,"Nyali Area, Nyali",, 25000000
515,"Ongata Rongai, Kajiado North",Land Area 1000 m², 5500000
516,"Limuru Road, Cianda, Kiambaa",, 13500000
517,"Gikambura, Kikuyu",, 1800000
518,"Joska, Kangundo",Land Area 450 m², 845000
519,"Waiyaki Way, Westlands",Land Area 1000 m², 15000000
520,"Kiambaa Area, Kiambaa",Building Area 0 m², 7500000
521,"Amboseli Road, Namanga, Kajiado South",Land Area 1012 m², 600000
522,"Riu - breeze, Gikambura, Kikuyu",Land Area 500 m², 3500000
523,"Rongai, Ongata Rongai, Kajiado North",Land Area 354 m², 8000000
524,"Chalbi Road, Lavington, Dagoretti North",Land Area 3237 m², 230000000
525,"Sagana, Sagana gateaway resort, Maragwa, Maragwa",, 550000
526,"Langata road, Langata Area, Langata",Land Area 247 m², 11000000
527,"Nyali, Nyali Area, Nyali",Land Area 5 ac, 825000000
528,"Brookside, Westlands",Land Area 1 ac, 400000000
529,"Karen, Langata",Land Area 3 ac, 325000000
530,"Lavington, Dagoretti North",, 110000000
531,"Kumpa, the rest of Kajiado South, Kajiado South",Land Area 10 ac, 12000000
532,"Joska, Kangundo",Land Area 450 m², 600000
533,"Kikuyu Town, Kikuyu",Land Area 500 m², 2300000
534,"Kikuyu Town, Kikuyu",Land Area 0 ha, 1850000
535,"Ngong, Kajiado North",Land Area 1000 m², 5500000
536,"xx, Karen, Langata",Land Area 0 ac, 30000000
537,"Kilifi, Kilifi North",, 24000000
538,"Waithaka, Dagoretti South",4, 28000000
539,"Off Masai Road, Ngong, Kajiado North",Land Area 10000 ft², 6500000
540,"Nanyuki-Timau road, Nanyuki, Laikipia East",Land Area 9 ac, 27000000
541,"Gikambura, Kikuyu",Land Area 500 m², 3500000
542,"Nairobi, General Mathenge, General Mathenge, Westlands",Land Area 0 ac, 340000000
543,"Kamiti Road, Kamiti, Muthaiga",, 7500000
544,"Loresho, Westlands",Land Area 0 ac, 41000000
545,"Kilimani, Dagoretti North",Land Area 4000 m², 350000000
546,"Ongata Rongai, Kajiado North",Land Area 526 m², 2500000
547,"Diani Beach Road, Diani, Msambweni",Land Area 65 ac,P.O.A
548,"Miotoni, Karen, Langata",Land Area 2024 m², 40000000
549,"Kiambu Road, Kiambu Road",Land Area 3035 m²,P.O.A
550,"Maimahiu Road , Longonot, Naivasha",Land Area 12141 m², 9200000
551,"Kiserian Bypass, Isinya, Kajiado North",, 9000000
552,"Off Masai road, Ngong, Kajiado North",Land Area 5000 ft², 2500000
553,"Kerarapon Road Mwitu Drive, Mwitu, Karen, Langata",Land Area 8 ac, 480000000
554,"Kamangu, Gikambura, Kikuyu",Land Area 500 m², 2300000
555,"VI-Karaba Road, Embu East, Embu East",Land Area 1 ac, 1600000
556,"Kikuyu Town, Kikuyu",Land Area 500 m², 2400000
557,"Nyali Area, Nyali",Land Area 3 ac, 300000000
558,"Konza City Area, Malili, Mombasa Road, Mombasa Road",Land Area 450 m², 600000
559,"Sunshine, Ndovoini, Joska, Kangundo",Land Area 450 m², 400000
560,"One eighth ( 1/8) of an acre, Ongata Rongai - Rangau, Ongata Rongai, Kajiado North",Land Area 500 m², 1000000
561,"Nanyuki, Laikipia East",Land Area 120 ac, 120000000
562,"Nyali Area, Nyali",, 60000000
563,"Narok, Narok",Land Area 36423 m², 60000000
564,"Kikuyu Town, Kikuyu",Land Area 0 ha, 2450000
565,"Syokimau Katani road, Syokimau, Athi River",Land Area 50 ac, 645000000
566,"Thika Road, Thika Road",Land Area 360 m², 14000000
567,"Kikambala, Kilifi South",Land Area 1 ac, 25000000
568,"Syokimau, Athi River",Land Area 500 m², 3000000
569,"Milimani Estate, Kitengela, Kajiado North",Land Area 5000 m², 1000000
570,"New Malindi road, Mombasa CBD, Mombasa CBD",Land Area 4 ac, 148000000
571,"Amboseli Road, Lavington, Lavington, Dagoretti North",Land Area 2914 m², 125000000
572,"vipingo, Kilifi North",, 30000000
573,"Muchai Drive, Ngong Road, Ngong Road",Land Area 2023 m², 275000000
574,"Ngecha-Wangige, Wangige, Kabete",Land Area 14165 m², 80000000
575,"Kinanie, Athi River Area, Athi River",Land Area 450 m², 1400000
576,"Mogotio Road, Westlands, Westlands Area, Westlands",Land Area 0 ac, 190000000
577,"Nyari, Westlands",Land Area 0 ac, 90000000
578,"Mombasa-Kilifi Highway B8, Mnarani, Kilifi North",Land Area 24242 m², 160000000
579,"Runda, Westlands",, 38000000
580,"Land, Riverside, Riverside, Westlands",Land Area 2914 m², 199000000
581,"Mtwapa, Kilifi South",, 8000000
582,"Ngong, Kajiado North",Land Area 5000000 m², 1800000
583,"Kikuyu Nachu, Kikuyu Town, Kikuyu",Land Area 5 ac, 20000000
584,"Kitengela, Kitengela, Kajiado North",, 2500000
585,"Juja, Kiambu Constituency",, 650000
586,"Gikambura, Kikuyu Town, Kikuyu",, 1000000
587,"Bogani, Bogani, Karen, Langata",Land Area 18212 m², 35000000
588,"Kikuyu Town, Kikuyu",Land Area 1000 m², 3500000
589,"Mombasa Road, Mombasa Road",Land Area 20235 m², 175000000
590,"Joska, Kangundo",Land Area 450 m², 1095000
591,"Tigoni, Limuru",Land Area 2 ac, 22000000
592,"Longonot, Naivasha",Land Area 2023 m², 3000000
593,"Tigoni, Limuru",Land Area 2 ac, 26000000
594,"Kilifi, Bofa, Bofa",Building Area 500 ft², 1250000
595,"Meru - Timau Road, the rest of Meru, the rest of Meru",Land Area 121410 m², 42000000
596,"Bamburi, Kisauni",Land Area 4452 m², 40000000
597,"Gikambura, Kikuyu",Land Area 500 m², 3400000
598,"Kamiti Ridge, Kamiti Corner estate, Kiambu Town, Kiambu Town",Land Area 0 ha, 12000000
599,"thindigua highway street, Kiambu Road, Kiambu Road",, 40000000
600,"Nyali Area, Nyali",3, 150000000
601,"Athi River Area, Athi River",Land Area 60705 m², 28000000
602,"Thika Road, Thika Road",, 80000000
603,"Ruiru, Ruiru",Land Area 500 m², 1595000
604,"Athi River Area, Athi River",Land Area 15 ac, 40500000
605,"Thika Gatura Rd, Thika, Thika",, 13000000
606,"Rimpa estate, Ngong, Kajiado North",Land Area 0 ac, 12000000
607,"Syokimau, Athi River",Land Area 20235 m², 36000000
608,"Kilimani, Dagoretti North",, 210000000
609,"Muthangari Gardens, Lavington, Dagoretti North",Land Area 0 ac, 150000000
610,"Kamakis, Ruiru, Ruiru",Land Area 8094 m², 80000000
611,"Karen, Langata",Land Area 2 ac, 260000000
612,"Kikambala, Kilifi South",Land Area 2024 m², 12000000
613,"Katani Road, Utawala, Embakasi",Land Area 486 m², 1900000
614,"Ngara, Ngara, Ngara, Starehe",Land Area 348 m², 49000000
615,"Thigiri, Westlands",Land Area 4047 m², 110000000
616,"Kisumu Central Area, Kisumu Central",Land Area 2428 m², 12000000
617,"Westlands, Rhapta Road, Westlands",Land Area 2064 m², 199000000
618,"Karen, Langata",Land Area 2023 m², 35000000
619,"Thika Greens, Thika Road, Thika Road",Land Area 1012 m², 9500000
620,"Ruaka Road, Runda, Westlands",Land Area 5221 m², 125000000
621,"Siaya, Siaya",Land Area 1619 m², 35000000
622,"Diani Chale road, Diani, Msambweni",Land Area 450 m², 750000
623,"Waiyaki Way, Westlands",Land Area 500 m², 4500000
624,"Red Hill, Red Hill",Land Area 2 ac, 67500000
625,"Juja, Kiambu Constituency",, 650000
626,"Malindi Town, Malindi",Land Area 5000 m², 3000000
627,"Kikuyu Town, Kikuyu",Land Area 500 m², 1600000
628,"Thika East, Thika East",Land Area 33 ac, 1320000000
629,"Gikambura, Kikuyu",, 1000000
630,"Malindi Town, Malindi",Land Area 1 ac, 150000
631,"Runda , Runda Grove, Runda, Westlands",Land Area 4047 m², 110000000
632,"Spring Valley, Westlands",Land Area 0 ac, 120000000
633,"Ruiru, Ruiru",Land Area 4500 ft², 2500000
634,"NACHU, NACHU, Gikambura, Kikuyu",, 700000
635,"Kiambu, Ting'ang'a, Kiambaa",Land Area 1 ac, 32000000
636,"Tigoni, Limuru",Land Area 0 ac, 9500000
637,"Mlolongo, Athi River",Land Area 20235 m², 60000000
638,"Ruiru, Ruiru",, 9500000
639,"One eighth ( 1/8) of an acre, Ngong - Kerarapon, Ngong, Kajiado North",, 6000000
640,"4th Rise, Kerarapon drive, Ngong, Kajiado North",Land Area 0 ha, 13000000
641,"Kisaju, Kajiado Central",Land Area 4047 m², 800000
642,"Karen, Langata",Land Area 2023 m², 31000000
643,"Kisaju, Kajiado Central",Land Area 0 ac, 2500000
644,"Kajiado Town, Kajiado Central",Land Area 4047 m², 650000
645,"Kinanie, Athi River Area, Athi River",Land Area 50000 m², 450000
646,"Shanzu, Kisauni",, 22000000
647,"Valley Arcade, Dagoretti North",Land Area 4047 m², 400000000
648,"Kikuyu Town, Kikuyu",Land Area 500 m², 2300000
649,"Thogoto-Mutarakwa Road, Plainsview, Gikambura, Kikuyu",Land Area 500 m², 3500000
650,"Kikuyu Town, Kikuyu",Land Area 700 m², 4200000
651,"Mai Mahiu, Naivasha",, 500000
652,"Matuu, the rest of Machakos, the rest of Machakos",, 299000
653,"Kinoo, Kabete",Land Area 500 m², 9000000
654,"Sabaki, Mlolongo, Athi River",Land Area 450 m², 3250000
655,"Lusigetti, Kikuyu Town, Kikuyu",, 2350000
656,"Kilgoris Road, Narok, Narok",, 1800000
657,"Marula Lane, Karen, Langata",, 65000000
658,"Vipingo Beach, Marijani Vipingo Beach, vipingo, Kilifi North",Land Area 450 m², 1950000
659,"Ruaka - Banana Rd, Ruaka, Kiambaa",Land Area 420 m², 4000000
660,"Riara Ridge, Limuru Area, Limuru",Land Area 141645 m², 350000000
661,"Fedha, Embakasi",Land Area 8094 m², 25000000
662,"Nyari, Westlands",, 240000000
663,"Ngong, Kajiado North",Land Area 500 m², 2500000
664,"Mtwapa, Kilifi South",, 5000000
665,"Uplands, Nyambari, Limuru Area, Limuru",Land Area 500 m², 750000
666,"Kikuyu Town, Kikuyu",Land Area 500 m², 2300000
667,"Beach Front ,Ukunda, Ukunda, Ukunda",Land Area 0 ac, 2000000
668,"Thika, Thika",, 2700000
669,"vipingo, Kilifi North",Land Area 202350 m², 12000000
670,"Kantafu - Kangundo Road, Koma Rock, Kangundo",Land Area 506 m², 1200000
671,"Kieni, Kieni",, 15000000
672,"Kiratina, Ruiru, Ruiru",Land Area 420 m², 1250000
673,"Ruiru, Ruiru",Land Area 0 ac, 12000000
674,"Kikuyu Town, Kikuyu",Land Area 1000 m², 4500000
675,"Kitengela, Kajiado North",Land Area 506 m², 2000000
676,"Kikuyu Town, Kikuyu",Land Area 500 m², 2400000
677,"Rosslyn Lone Tree, Rosslyn, Westlands",Land Area 2023 m², 53000000
678,"Namanga, Kajiado South",Land Area 30 ac, 35000000
679,"Ngong – Kibiko, Ngong, Kajiado North",Land Area 486 m², 2200000
680,"Thika, Thika",, 4800000
681,"Ukunda, Ukunda",Land Area 0 ac, 2000000
682,"Ganda, Malindi",Land Area 70 ac, 70000000
683,"Muhuri Road, Waithaka, Dagoretti South",, 35000000
684,"Diani, Diani, Msambweni",Land Area 400 m², 1050000
685,"Kiserian, Kajiado North",Land Area 400 m²,P.O.A
686,"General Mathenge, Westlands",Land Area 1 m², 500000000
687,"Muthaiga North, North Muthaiga, Muthaiga",Land Area 1821 m², 45000000
688,"Sillicon Valley, Ruiru, Ruiru",Land Area 0 ac, 2500000
689,"Old Namanga Road, Kitengela, Kajiado North",Land Area 32374 m², 64000000
690,"Riat Hills, Kisumu Central",Land Area 0 ac, 800000
691,"Muchatha, Kiambaa Area, Kiambaa",Land Area 0 ac, 6500000
692,"Njabini- Nyahururu road, Kinangop, Kinangop",Land Area 2 ha, 1000000
693,"Kiu Kenda Estate, Kiambu Town, Kiambu Town",Land Area 2023 m², 12000000
694,"ruiru, Ruiru, Ruiru",Land Area 500 m², 4500000
695,"Eldoret North, Eldoret North",Land Area 4047 m², 40000000
696,"Kilifi, Kilifi North",, 5000000
697,"Nyali Area, Nyali",, 1850000
698,"Maiyan, Maiyan, Nanyuki, Laikipia East",Land Area 1011 m², 5000000
699,"Karen, Langata",Land Area 26306 m², 400000000
700,"Kitengela, Kajiado North",Land Area 465 m², 1600000
701,"Juja, Kiambu Constituency",, 550000
702,"Kiambu, Ting'ang'a, Kiambaa",Land Area 500 m², 5500000
703,"Kiambu Road, Kiambu Road",Land Area 0 ac, 75000000
704,"Migumoini, Gikambura, Kikuyu",Land Area 500 m², 2300000
705,"Konza, Machakos Town, Machakos Town",Land Area 10 ac, 35000000
706,"Kitengela, Kajiado North",Land Area 3238 m², 10500000
707,"Kigwaru, Runda, Westlands",, 40000000
708,"Ngong, Kajiado North",Land Area 0 ha, 5800000
709,"Kiamumbi, Kamiti, Kiambaa",Land Area 1012 m², 12000000
710,"Eldoret North, Eldoret North",Land Area 4047 m², 18000000
711,"Eastern Bypass Rd, Embakasi Estate, Embakasi",Land Area 18212 m², 202500000
712,"Ongata Rongai, Kajiado North",Land Area 2000 m², 12000000
713,"Thika road, Ruiru, Ruiru",Land Area 0 ac, 11000000
714,"Kinanda Road, Kitisuru, Westlands",Land Area 4047 m², 100000000
715,"Naivasha Town, Naivasha",,P.O.A
716,"Nyali Area, Nyali",, 160000000
717,"Msambweni, Diani, Msambweni",Land Area 18212 m², 67500000
718,"Dagorreti road, Gikambura, Kikuyu",, 1000000
719,"Nyali Area, Nyali",, 15000000
720,"Gikambura, Kikuyu",Land Area 500 m², 4500000
721,"Kikambala, Kilifi South",, 15000000
722,"Kitengela, Kajiado North",Land Area 5000 ft², 299000
723,"Kikuyu Town, Kikuyu",Land Area 874 m², 3650000
724,"Kisumu Central Area, Kisumu Central",Land Area 1348 m², 15000000
725,"muranga county, gatanga muranga, Gatanga, Gatanga",Land Area 100 ac, 1300000000
726,"Port Reitz Road, Mombasa CBD, Mombasa CBD",Warehouse Space 3 ha, 783470000
727,"Kikuyu Town, Kikuyu",Land Area 500 m², 5500000
728,"Kikuyu Town, Kikuyu",Land Area 4000 m², 16000000
729,"Runda, Runda, Westlands",Land Area 2024 m², 23500000
730,"Katani, Athi River",Land Area 1200 m², 550000
731,"lukenya, Athi River",Land Area 2024 m², 10000000
732,"Ruaka, Kiambaa",Land Area 0 ac, 6500000
733,"Ruiru, Murera, Mugutha, Ruiru, Ruiru",Land Area 1012 m², 7000000
734,"Kikuyu Town, Kikuyu",Land Area 500 m², 2400000
735,"Mtwapa, Kilifi South",, 4500000
736,"Mountain View, Westlands",Land Area 1012 m², 40000000
737,"Kilimani, Dagoretti North",Land Area 2000 m², 190000000
738,"Lumumba Drive, Roysambu Area, Roysambu",Land Area 3200 ft², 14000000
739,"Mihang'o, Embakasi",, 4400000
740,"Day Star, Athi River",Land Area 42492 m², 367500000
741,"Isinya, Isinya town, Isinya, Kajiado North",, 220000000
742,"xx, Karen, Langata",Land Area 1 ac, 49000000
743,"Nyali Area, Nyali",, 70000001
744,"Kikuyu Town, Kikuyu",Land Area 500 m², 4500000
745,"Rimpa, Rimpa, Ongata Rongai, Kajiado North",Land Area 100 m², 5500000
746,"Kilimani, Dagoretti North",Land Area 3035 m², 280000000
747,"Touching Juja Road, Pangani, Pangani, Starehe",Land Area 0 ac, 80000000
748,"Syokimau, Athi River",Land Area 50 m², 700000
749,"Upper Hill, Langata",Office Space 0 ha, 1000000000
750,"Karambani, Limuru",Land Area 4047 m², 40000000
751,"Waiyaki Way, Westlands",Land Area 1012 m², 15000000
752,"Mwea, Mwea",Land Area 5000 m², 600000
753,"Isinya, Kajiado North",Land Area 506 m², 1500000
754,"Rhino Park Road, Karen, Langata",Land Area 1 ac, 75000000
755,"Muteero, Karen, Langata",Land Area 1 ac, 55000000
756,"Behind kobil petrol station, Kisaju, Kajiado Central",Land Area 1 ac, 7000000
757,"Murera, Ruiru, Ruiru",Land Area 450 m², 2200000
758,"Galu Area, Diani, Msambweni",Land Area 0 ac, 750000
759,"Nyali Area, Nyali",, 57000000
760,"Gikambura, Kikuyu",Land Area 0 ha, 2500000
761,"Juja, Kiambu Constituency",, 550000
762,"Kitengela, Kajiado North",Land Area 506 m², 1500000
763,"Off Musa Gitau, Lavington, Dagoretti North",Land Area 3278 m², 110000000
764,"vipingo, vipingo, Kilifi, Kilifi North",Land Area 1 ac, 18000000
765,"Ruiru Murera rd, Ruiru, Ruiru",Land Area 0 ha, 6800000
766,"Kileleshwa, Dagoretti North",Land Area 4047 m², 300000000
767,"Malindi Town, Malindi",, 550000
768,"A109, Mombasa Road, Mombasa Road, Mombasa Road",Land Area 2 ac, 50000000
769,"Msabaha, Malindi Town, Malindi",Building Area 0 ha, 730000
770,"Kariobangi south, Mutarakwa road, Embakasi West, Embakasi",Land Area 0 ac, 4000000
771,"Nyali Area, Nyali",, 10000000
772,"Musa Gitau, Gikambura, Kikuyu",Land Area 2000 m², 12500000
773,"Kimalat, Kitengela, Kajiado North",Land Area 4047 m², 1500000
774,"Lavington, Dagoretti North",Land Area 2833 m², 150000000
775,"Kisumu, Ogango kibos road, the rest of Kisumu, the rest of Kisumu",Land Area 0 ac, 4500000
776,"Off Ndorobo Road, Karen, Langata",Land Area 1 ac, 50000000
777,"Ongata Rongai, Kajiado North",Land Area 0 ha, 2500000
778,"Gilgil, Gilgil",Land Area 500 m², 250000
779,"Kilimani, Dagoretti North",Land Area 1093 m², 140000000
780,"Acre 5, Sigona Green Gated Estate, Rironi, Limuru",Land Area 0 ha, 13500000
781,"Kikuyu Town, Kikuyu",Land Area 0 ha, 4400000
782,"Kamiti Ridge, Kamiti, Muthaiga",, 36000000
783,"Solai, Bahati, the rest of Rongai, Rongai",Land Area 500 m², 200000
784,"Acacia road, Kitengela, Kajiado North",Land Area 506 m², 650000
785,"Nyali Area, Nyali",, 4700000
786,"Mayungu, Malindi Town, Malindi",Land Area 8094 m², 7000000
787,"Karen, Langata",Land Area 5 ac, 275000000
788,"Nanyuki, Laikipia East",Land Area 19425 m², 14400000
789,"Ndeiya, Limuru",Land Area 5 ac, 3200000
790,"Ruiru, Ruiru",Land Area 508 m², 7500000
791,"Langata Area, Langata",Land Area 251 m², 8500000
792,"Kikuyu Town, Kikuyu",Land Area 500 m², 19500000
793,"Kikopey town, Naivasha, Naivasha Town, Naivasha",, 500000
794,"Kitengela, Kajiado North",Land Area 20235 m², 60000000
795,"Ruiru, Ruiru",Land Area 250 m², 1200000
796,"Ongata Rongai, Kajiado North",Land Area 0 ha, 13500000
797,"Runda, Westlands",Land Area 2023 m², 42000000
798,"Eldoret South, Eldoret South",Land Area 1012 m², 612000
799,"Off Kiambu Road, Ridgeways, Ridgeways",Land Area 1740 m², 75000000
800,"Diani, Diani, Msambweni",Land Area 4047 m², 10000000
801,"Kikuyu Town, Kikuyu",Land Area 500 m², 2650000
802,"Kikuyu Town, Kikuyu",Land Area 250 m², 3000000
803,"Lavington, Dagoretti North",Land Area 1012 m², 28000000
804,"General Mathenge, Westlands",Land Area 0 ac, 239000000
805,"Serena Road, Shanzu, Kisauni",Land Area 1012 m², 9000000
806,"Kamangu/nachu., Kikuyu Town, Kikuyu",Land Area 0 ha, 850000
807,"Eastern Bypass, Utawala, Embakasi",Land Area 43560 ft², 72000000
808,"Ruiru, Ruiru, Ruiru",Building Area 1011 m², 15800000
809,"gikambura, gikambura, Gikambura, Kikuyu",Land Area 0 ac, 5500000
810,"Ngong Road, Kilimani, Dagoretti North",Land Area 8013 m², 793000000
811,"Joska, Kangundo",Building Area 450 m², 610000
812,"Mutungoni Road, Athi River Area, Athi River",Land Area 20 ac, 300000000
813,"Ngong, Kajiado North",Land Area 0 ha, 15000000
814,"Industrial Area, Embakasi",Land Area 10359 m², 100000000
815,"Rironi, Limuru",Land Area 1000 m², 13500000
816,"Gikambura, Kikuyu",Land Area 2000 m², 9000000
817,"Thigiri, Westlands",, 120000000
818,"Ruiru, Ruiru",Land Area 5000 ft², 1500000
819,"Mombasa CBD, Mombasa CBD",Building Area 500 ft², 350000
820,"Isinya, Kajiado North",Land Area 8 ac, 20000000
821,"Karen, Karen, Langata",Land Area 2023 m², 35000000
822,"the rest of Naivasha, Naivasha",Land Area 20235 m², 4100000
823,"2, Kitsuru Road, Spring Valley, Westlands",Land Area 64752 m², 100000000
824,"Red Hill, Red Hill, Red Hill",Land Area 12141 m², 150000000
825,"Lavington, Dagoretti North",, 200000000
826,"Mombasa Island, Old Town, Mombasa CBD, Mombasa CBD",Land Area 1012 m², 18000000
827,"Mwalimu farm, Ruiru, Ruiru",Land Area 0 ac, 600000
828,"Kisumu Central Area, Kisumu Central",Land Area 2792 m²,P.O.A
829,"Kitengela, Kajiado North",, 700000
830,"Masai Mara, Narok, Narok",Land Area 424935 m², 210000000
831,"General Mathenge, Westlands",Land Area 1011 m², 120000000
832,"Nanyuki, Laikipia East",Land Area 21044 m², 75000000
833,"Kahawa West, Roysambu",, 2500000
834,"Ngong, Kajiado North",Land Area 1000 m², 6000000
835,"Runda, Westlands",, 120000000
836,"Membley, Ruiru, Ruiru",Land Area 0 ac, 16000000
837,"Mukoma Road, Karen, Langata",Land Area 77298 m², 859500000
838,"Kikuyu Town, Kikuyu",Land Area 0 ha, 4600000
